gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
MRPS5P4,ENSG00000266915.1,1.75E-04,1.75E-04,0.005012121,0.002024304
RP11-325K19.6,ENSG00000267687.1,0,0,0,0
RP11-325K19.2,ENSG00000267382.1,6.36E-04,2.33E-04,0,0
RP11-325K19.1,ENSG00000267098.1,0.00938366,0.001834947,0,0
CTBP2P3,ENSG00000267153.1,0.001784096,6.05E-04,0.005118466,0.000611827
HMGN1P31,ENSG00000267513.3,0.001795861,9.88E-04,0.008408049,0.002747583
CDH20,ENSG00000101542.9,1.656768627,0.161089385,0.205113352,0.011629539
RNU6-116P,ENSG00000206769.1,0.004708932,0.00302031,0.023840246,0.006464836
RPL30P14,ENSG00000243256.1,0.094286057,0.007442676,0.234602083,0.011043209
RP11-879F14.3,ENSG00000267316.5,0.219661002,0.011672368,0,0
RP11-879F14.2,ENSG00000267279.1,0.930269935,0.036460624,0,0
RP11-879F14.1,ENSG00000267175.5,0.027815033,0.002242973,0,0
RP11-1096D5.2,ENSG00000267038.1,0.308798475,0.041972398,0,0
LINC01544,ENSG00000260440.2,0.024285185,0.001431893,0.020602178,0.00492833
RNF152,ENSG00000176641.10,11.58309804,0.309735727,15.1215393,0.545760316
PIGN,ENSG00000197563.10,3.202343137,0.051270494,8.995877746,0.154933703
RPIAP1,ENSG00000267597.1,0.005942048,0.001362264,0.0124875,0.002144449
KIAA1468,ENSG00000134444.13,15.92682353,0.285819976,0,0
RP11-173A16.2,ENSG00000266900.1,0.175427669,0.008639035,0,0
RP11-173A16.1,ENSG00000267560.1,1.508260566,0.055329013,0,0
TNFRSF11A,ENSG00000141655.16,2.801544227,0.119261625,3.774016572,0.143579963
Y_RNA,ENSG00000199867.1,0.00136122,9.68E-04,0.306436174,0.081552032
RP11-640A1.3,ENSG00000267341.1,0.020293246,0.003498595,0,0
RPL17P44,ENSG00000241088.2,0.011299564,0.001692098,0.039614773,0.003698545
RP11-640A1.4,ENSG00000267487.1,0.001563834,8.20E-04,0,0
ACTBP9,ENSG00000266920.1,0.080677342,0.004213621,0.22252017,0.006576865
ZCCHC2,ENSG00000141664.9,10.51618083,0.167238778,12.14482945,0.202927941
RP11-120K19.4,ENSG00000278017.1,0.744004575,0.025822993,0,0
RP11-120K19.3,ENSG00000279236.1,0.905794771,0.035598593,0,0
RN7SL705P,ENSG00000243549.3,7.42E-04,5.31E-04,0.066933902,0.029615407
PHLPP1,ENSG00000081913.13,7.800836601,0.152798593,10.82711998,0.254338054
RNU6-142P,ENSG00000206746.1,0.007636601,0.003167335,0.158684659,0.040042479
BCL2,ENSG00000171791.12,11.748939,0.214850722,31.10841231,0.911065637
RP11-299P2.1,ENSG00000267766.1,0.083858388,0.008568362,0,0
RP11-299P2.2,ENSG00000283125.1,0.083879085,0.007710572,0,0
KDSR,ENSG00000119537.15,31.39971678,0.432653625,33.21686004,0.438841187
RP11-635N19.1,ENSG00000267390.1,4.902326362,0.136488014,0,0
VPS4B,ENSG00000119541.9,36.3772549,0.444302652,67.45434318,0.968179949
RP11-635N19.2,ENSG00000267430.1,0.172339651,0.010144466,0,0
SERPINB5,ENSG00000206075.13,8.854054684,0.472548513,28.17408655,2.473387543
RP11-635N19.3,ENSG00000269989.1,0.149988017,0.014917318,0,0
ATP5G1P6,ENSG00000214318.3,0.190940741,0.016806488,0,0
